level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.88,0.6779023445852178,29.16,9.333381732847664,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.6,0.4657142814087612,84.08,5.887387521206895,25,0.28,0.31818181818181823,0.2121880631764566,0.3130068288910938
F_clut,F_clut,0.84,0.6379023445852178,37.08,8.862615898955697,25,0.040000000000000036,0.0454545454545455,0.040000000000000036,0.05900554898430759
F_obj,F_obj,0.84,0.6379023466798387,36.96,8.847739583992634,25,0.040000000000000036,0.0454545454545455,0.039999997905379114,0.05900554589445116
F_tgt,F_tgt,0.64,0.45571428003434167,76.0,6.381503723559421,25,0.24,0.2727272727272727,0.22218806455087614,0.3277582181646302
F_mat,F_mat,0.76,0.6272543193441842,53.92,7.587587101829281,25,0.12,0.13636363636363635,0.05064802524103362,0.07471286335795635
F_light,F_light,0.88,0.6779023445852178,29.12,9.342215898955697,25,0.0,0.0,0.0,0.0
F_sky,F_sky,0.92,0.6903947612588175,21.88,9.89661908525442,25,-0.040000000000000036,-0.0454545454545455,-0.012492416673599682,-0.018428047599161657
L1,B_L1 (materials + lighting),0.76,0.6307619042816249,53.84,7.53434351878185,25,0.12,0.13636363636363635,0.04714044030359288,0.06953868898688688
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.68,0.5507619030584524,69.28,6.578399926169157,25,0.19999999999999996,0.2272727272727272,0.1271404415267654,0.18754978875985112
L2,B_L2 (+ object appearance),0.12,0.12,176.16,-0.5401077478068858,25,0.76,0.8636363636363636,0.5579023445852178,0.8229833530470774
L3,B_L3 (+ distractors),0.12,0.12,176.16,-0.5712362692845472,25,0.76,0.8636363636363636,0.5579023445852178,0.8229833530470774
