variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
variant_a,0,10000,1.0,0.27999998276907057,57,6.250000384618985,1.75,11.697751225188364
variant_a,1,10001,0.0,0.0,200,15.499999846309485,0.9013878188659973,-1.9355080860344207
variant_a,2,10002,0.0,0.0,200,8.250001804444356,2.7950849718747373,-3.009545271063812
variant_a,3,10003,1.0,0.07317073783920723,89,10.249999141024459,0.75,10.52444215979386
variant_a,4,10004,1.0,0.3749999505537184,15,2.000000263713537,0.75,11.1487577426597
variant_a,5,10005,0.0,0.0,200,14.000000052301822,1.8027756377319946,-3.27998443574909
variant_a,6,10006,1.0,0.06249999850945412,134,12.000000286184816,0.75,9.920480683863921
variant_a,7,10007,0.0,0.0,200,14.249998888546548,2.8658900830106457,-2.8430429514007356
variant_a,8,10008,0.0,0.0,200,11.000000283076918,1.25,-2.815443430794585
variant_a,9,10009,0.0,0.0,200,14.250001844298554,1.118033988749895,-1.5607204455989467
variant_a,10,10010,1.0,0.5555554649501867,18,2.2500003669518036,1.25,11.432851764992973
variant_a,11,10011,0.0,0.0,200,15.000002933918289,0.0,-5.777713745927722
variant_a,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_a,13,10013,0.0,0.0,200,15.500000381579875,0.0,-3.9707410038701667
variant_a,14,10014,1.0,0.4375000008578628,44,3.9999999921566833,1.75,11.881610862662004
variant_a,15,10015,0.0,0.0,200,12.250001918918336,1.118033988749895,-2.5330209806627377
variant_a,16,10016,1.0,0.26086952593904306,48,5.75000086576039,1.5,11.463974348644989
variant_a,17,10017,0.0,0.0,200,10.500001412266457,1.5811388300841898,-1.9668864715414411
variant_a,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_a,19,10019,0.0,0.0,200,15.750002182631874,1.25,-1.6863438461047704
variant_a,20,10020,1.0,0.24242424775952973,105,8.249999818433508,2.0,11.52397704633131
variant_a,21,10021,0.0,0.0,200,12.000000405693108,2.8658900830106457,-2.1771760064557855
variant_a,22,10022,0.0,0.0,200,11.75000203169611,0.5,-4.992475391274925
variant_a,23,10023,1.0,0.13812821999152664,146,16.750000853724448,2.3136478027815093,10.964467100576787
variant_a,24,10024,0.0,0.0,200,12.499999817690984,1.25,-3.369785719471829
variant_b,0,10000,0.0,0.0,200,18.249999709717375,1.75,-1.8907179928574973
variant_b,1,10001,0.0,0.0,200,14.25000021156514,0.9013878188659973,-2.5069372993322023
variant_b,2,10002,0.0,0.0,200,6.750001578888811,2.7950849718747373,-3.1489480091087874
variant_b,3,10003,1.0,0.051724133847419716,175,14.50000114477343,0.75,9.603692807436321
variant_b,4,10004,1.0,0.2727272804571894,19,2.7499999220566758,0.75,10.990321743291267
variant_b,5,10005,0.0,0.0,200,12.749999798611947,1.8027756377319946,-3.417943759100024
variant_b,6,10006,0.0,0.0,200,14.000000434197668,0.75,-2.0237343554327616
variant_b,7,10007,0.0,0.0,200,15.499999798498012,2.8658900830106457,-0.8186075487266088
variant_b,8,10008,1.0,0.18518517624224315,99,6.7500003259702535,1.25,10.955336815592284
variant_b,9,10009,0.0,0.0,200,11.500002106315886,1.118033988749895,-4.5105041838664635
variant_b,10,10010,1.0,0.6250000173565002,15,1.999999944459201,1.25,11.485911862811562
variant_b,11,10011,0.0,0.0,200,13.999999685834283,0.0,-4.644404366053519
variant_b,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_b,13,10013,0.0,0.0,200,17.000000400658855,0.0,-3.045523480412718
variant_b,14,10014,0.0,0.0,200,11.74999964767615,1.75,-3.286815521740703
variant_b,15,10015,1.0,0.09938078569652326,159,11.250001505965235,1.118033988749895,9.755139147454953
variant_b,16,10016,1.0,0.6666665885293317,17,2.2500002637135363,1.5,11.693859847427913
variant_b,17,10017,0.0,0.0,200,9.500001542427023,1.5811388300841898,-1.4845851296197639
variant_b,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_b,19,10019,0.0,0.0,200,11.500000792836808,1.25,-2.577175173162241
variant_b,20,10020,0.0,0.0,200,10.250000125709548,2.0,-3.498371602700268
variant_b,21,10021,0.0,0.0,200,10.500000352149874,2.8658900830106457,0.0382764406947692
variant_b,22,10022,0.0,0.0,200,17.750001413962607,0.5,-3.9772030613416343
variant_b,23,10023,0.0,0.0,200,16.24999985274096,2.3136478027815093,0.2008236404133295
variant_b,24,10024,1.0,0.15151515203947943,76,8.249999971450345,1.25,11.156397494819537
