variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes
A (train visuals),0.44,0.17700592516678398,138.32,3.144797005950517,25
B (zero-shot visuals),0.36,0.16208796536674747,150.48,2.2011315326594696,25
