level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.756649745694577,13.84,10.928156837350361,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.72,0.5593333291397725,73.4,7.2075214198685265,25,0.28,0.28,0.19731641655480447,0.26077642618339236
L2,B_L2 (+ object appearance),0.76,0.5650476136809474,76.88,7.589449826175251,25,0.24,0.24,0.19160213201362963,0.2532243394038887
L3,B_L3 (+ distractors),0.68,0.45447618378485094,78.16,6.714946698403782,25,0.31999999999999995,0.31999999999999995,0.30217356190972605,0.39935725033825487
