level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.719680546073764,8.6,10.851010147520894,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.8,0.5219865249715552,80.56,7.824082920268276,25,0.19999999999999996,0.19999999999999996,0.1976940211022088,0.27469690848353995
L2,B_L2 (+ object appearance),1.0,0.6766947625703496,51.68,10.460313089875106,25,0.0,0.0,0.04298578350341442,0.059728977999925784
L3,B_L3 (+ distractors),0.72,0.5210103831560997,85.96,7.006379897639382,25,0.28,0.28,0.19867016291766426,0.27605326280043907
