level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.08,0.08,184.64,-0.4550926833678187,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.84,0.7028571431520213,59.84,8.51021164174413,25,-0.76,-9.5,-0.6228571431520213,-7.785714289400267
L2,B_L2 (+ object appearance),0.64,0.5401587294601338,116.24,5.891620991987179,25,-0.56,-7.000000000000001,-0.46015872946013375,-5.751984118251672
L3,B_L3 (+ distractors),0.8,0.5961760438334375,88.76,7.803355946575533,25,-0.7200000000000001,-9.0,-0.5161760438334375,-6.452200547917969
