level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.7767618995993741,7.68,10.697355525153753,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.88,0.6567618995993741,30.52,9.255814405753263,25,0.12,0.12,0.12,0.15448749489630179
L2,B_L2 (+ object appearance),0.88,0.6567618995993741,30.52,9.255814405753263,25,0.12,0.12,0.12,0.15448749489630179
L3,B_L3 (+ distractors),0.88,0.6567618995993741,30.52,9.255814405753263,25,0.12,0.12,0.12,0.15448749489630179
