level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.88,0.679909087830564,39.0,9.300291549857466,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.08,0.08,188.6,-0.021229011768190073,25,0.8,0.9090909090909092,0.5999090878305641,0.882337210324307
L2,B_L2 (+ object appearance),0.04,0.04,192.04,-0.4749807944681874,25,0.84,0.9545454545454545,0.639909087830564,0.9411686051621534
L3,B_L3 (+ distractors),0.04,0.04,192.04,-0.41678038332990197,25,0.84,0.9545454545454545,0.639909087830564,0.9411686051621534
