variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
variant_a,0,10000,1.0,0.7,13,2.5,1.75,12.284282560963664
variant_a,1,10001,1.0,0.5150786760187388,10,1.7500002637135077,0.9013878188659973,11.512191948969308
variant_a,2,10002,1.0,0.7985953931064674,14,3.500001372412251,2.7950849718747373,13.269412856536654
variant_a,3,10003,1.0,0.5000001217519014,11,1.4999996347443847,0.75,11.293583224236
variant_a,4,10004,1.0,0.49999998092101916,11,1.5000000572369447,0.75,11.121511596675079
variant_a,5,10005,1.0,0.6555548307214826,21,2.7499997761406436,1.8027756377319946,12.28415204620352
variant_a,6,10006,1.0,0.3749999856907643,16,2.0000000763159265,0.75,11.10522216707088
variant_a,7,10007,1.0,0.7642375386480297,20,3.749999101170211,2.8658900830106457,13.019995278703256
variant_a,8,10008,1.0,0.5555554904411166,10,2.2500002637135084,1.25,11.913422492361859
variant_a,9,10009,1.0,0.3726780264292268,23,2.999999757061648,1.118033988749895,11.363453175165223
variant_a,10,10010,1.0,0.4999998627588127,17,2.500000686206125,1.25,11.415693190512652
variant_a,11,10011,1.0,1.0,20,2.250000141396245,0.0,10.223487549435502
variant_a,12,10012,1.0,1.0,1,0.2500000095394908,0.0,10.080584378483922
variant_a,13,10013,1.0,1.0,4,0.5000000095394908,0.0,10.381833439042346
variant_a,14,10014,1.0,0.7000001756364699,19,2.499999372727051,1.75,12.067605001291328
variant_a,15,10015,1.0,0.3726779518500704,22,3.0000003574122993,1.118033988749895,11.144216645681446
variant_a,16,10016,1.0,0.5454543646093155,18,2.75000091176167,1.5,11.666365505190988
variant_a,17,10017,1.0,0.4517539053205108,26,3.5000003574122993,1.5811388300841898,11.41695823525817
variant_a,18,10018,1.0,1.0,1,0.2500000095394908,0.0,10.186678648237896
variant_a,19,10019,1.0,0.5000001105306582,12,2.4999994473468314,1.25,11.46569243450329
variant_a,20,10020,1.0,0.5714286875807991,24,3.49999928856775,2.0,12.296504180989807
variant_a,21,10021,1.0,0.7642375386480297,24,3.749999101170211,2.8658900830106457,12.979995278703257
variant_a,22,10022,1.0,0.4000000177730565,6,1.249999944459201,0.5,10.909500814818148
variant_a,23,10023,0.0,0.0,200,0.25,2.3136478027815093,-1.750330713025821
variant_a,24,10024,1.0,0.5555555924048395,16,2.24999985076041,1.25,11.853422229354978
variant_b,0,10000,1.0,0.7,13,2.5,1.75,12.284282560963664
variant_b,1,10001,1.0,0.32777737730824946,16,2.7500000953949644,0.9013878188659973,11.513076591663411
variant_b,2,10002,1.0,0.7985953931064674,14,3.500001372412251,2.7950849718747373,13.269412856536654
variant_b,3,10003,1.0,0.3750000491282565,13,1.9999997379826662,0.75,11.400066901356507
variant_b,4,10004,1.0,0.23076928929303211,21,3.249999175790007,0.75,10.947876021313729
variant_b,5,10005,1.0,0.5547002696736754,24,3.249999569664081,1.8027756377319946,12.272140098813551
variant_b,6,10006,1.0,0.23076926594671845,22,3.2499995045837906,0.75,11.146832397236357
variant_b,7,10007,1.0,0.6743271882078303,23,4.249999307646731,2.8658900830106457,13.107517162593883
variant_b,8,10008,1.0,0.5555554904411166,10,2.2500002637135084,1.25,11.913422492361859
variant_b,9,10009,1.0,0.2795084571179552,30,4.000000573428353,1.118033988749895,11.383404624212277
variant_b,10,10010,0.0,0.0,200,0.25000011277777234,1.25,-1.9126714111821637
variant_b,11,10011,1.0,1.0,28,3.7500001127777725,0.0,10.26381552578742
variant_b,12,10012,1.0,1.0,1,0.2500000095394908,0.0,10.080584378483922
variant_b,13,10013,1.0,1.0,5,0.5000001223172632,0.0,10.302639546790319
variant_b,14,10014,1.0,0.38888894707309524,28,4.499999326725713,1.75,11.882568262716887
variant_b,15,10015,1.0,0.2630667859786974,28,4.250000563888863,1.118033988749895,11.034822078513187
variant_b,16,10016,0.0,0.0,200,1.0000004511110894,1.5,-1.5996339516394817
variant_b,17,10017,1.0,0.3011692621510474,34,5.250000676666635,1.5811388300841898,11.352595089464186
variant_b,18,10018,1.0,1.0,1,0.2500000095394908,0.0,10.186678648237896
variant_b,19,10019,0.0,0.0,200,0.25000011277777234,1.25,-1.9126714111821637
variant_b,20,10020,1.0,0.4705883327059935,27,4.2499991202491785,2.0,12.290979891732388
variant_b,21,10021,1.0,0.6743271882078303,27,4.249999307646731,2.8658900830106457,13.067517162593884
variant_b,22,10022,1.0,0.22222215444879848,11,2.250000686206125,0.5,10.864124683483956
variant_b,23,10023,0.0,0.0,200,0.5000000190789816,2.3136478027815093,-1.562612270499022
variant_b,24,10024,1.0,0.4166667668016547,20,2.9999992790282595,1.25,11.724414751350217
