variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
variant_a,0,10000,1.0,0.7000000208935432,19,2.499999925380205,1.75,12.238597695958857
variant_a,1,10001,1.0,0.300462634441647,27,2.9999997189036702,0.9013878188659973,11.381352212037326
variant_a,2,10002,1.0,0.7985953931064674,15,3.500001372412251,2.7950849718747373,13.259412856536654
variant_a,3,10003,1.0,0.375,21,2.0,0.75,11.365147100521867
variant_a,4,10004,1.0,0.37500002977108,17,1.9999998412209194,0.75,10.990494076075644
variant_a,5,10005,1.0,0.7211099893490096,26,2.500000921301161,1.8027756377319946,12.109001207652804
variant_a,6,10006,1.0,0.2307692502873681,29,3.249999725119589,0.75,11.158561489366251
variant_a,7,10007,1.0,0.6743270974938196,29,4.249999879378883,2.8658900830106457,13.094277742387941
variant_a,8,10008,1.0,0.4166666666666667,19,3.0,1.25,11.767886641566971
variant_a,9,10009,1.0,0.638876585276344,13,1.7499999444592151,1.118033988749895,11.448277440515529
variant_a,10,10010,1.0,0.3571427822547525,30,3.5000007339035797,1.25,11.313383039030894
variant_a,11,10011,1.0,1.0,16,0.750000338333317,0.0,10.313029892951928
variant_a,12,10012,1.0,1.0,9,0.5,0.0,9.78348608747734
variant_a,13,10013,1.0,1.0,14,0.5,0.0,10.323554141168836
variant_a,14,10014,1.0,0.6363636396170215,21,2.749999985940729,1.75,12.05671138117431
variant_a,15,10015,1.0,0.5590168971415587,21,2.000000347872808,1.118033988749895,11.2913604686129
variant_a,16,10016,1.0,0.7499999577083377,30,2.0000001127777725,1.5,11.668034983019663
variant_a,17,10017,1.0,0.6324553893798559,46,2.5000005638888623,1.5811388300841898,11.318084807776822
variant_a,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_a,19,10019,1.0,0.3571429096423756,27,3.499999485504795,1.25,11.472574119675325
variant_a,20,10020,1.0,0.4000000571804739,38,4.999999285244178,2.0,12.315641368380115
variant_a,21,10021,1.0,0.71647248517385,27,4.0000001986332325,2.8658900830106457,12.944608308079992
variant_a,22,10022,1.0,0.166666626424227,17,3.0000007243640887,0.5,10.761985088615402
variant_a,23,10023,1.0,0.841326424643436,26,2.7500001604752407,2.3136478027815093,12.194809349352285
variant_a,24,10024,1.0,0.3571428111111193,31,3.5000004511110894,1.25,11.739202039830188
variant_b,0,10000,1.0,0.6363637186781222,29,2.749999644283875,1.75,12.027873107729318
variant_b,1,10001,1.0,0.32777744451917273,32,2.749999531506117,0.9013878188659973,11.203629708313278
variant_b,2,10002,1.0,0.7985953695505872,30,3.5000014756505324,2.7950849718747373,12.928662198754044
variant_b,3,10003,1.0,0.37499999284537666,28,2.000000038157992,0.75,11.234569618355549
variant_b,4,10004,1.0,0.4285713814488403,16,1.7500001924172566,0.75,11.140707305665055
variant_b,5,10005,1.0,0.27735008156859914,80,6.500000387726946,1.8027756377319946,11.645945222846168
variant_b,6,10006,1.0,0.15000000519161638,60,4.9999998269461265,0.75,10.8268349710313
variant_b,7,10007,1.0,0.4409061359023309,75,6.5000004528072495,2.8658900830106457,12.552967467272449
variant_b,8,10008,1.0,0.4999998570351185,26,2.500000714824612,1.25,11.638861915111185
variant_b,9,10009,1.0,0.2630667533319894,25,4.2500010913159345,1.118033988749895,11.319173184338737
variant_b,10,10010,1.0,0.6249999295139002,18,2.000000225555545,1.25,11.481148957645974
variant_b,11,10011,1.0,1.0,76,6.750001880760312,0.0,9.714871437938227
variant_b,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_b,13,10013,1.0,1.0,6,0.5,0.0,10.403554141168836
variant_b,14,10014,1.0,0.6363636620684702,34,2.7499998889184014,1.75,11.900856440064214
variant_b,15,10015,1.0,0.5590168340968963,22,2.000000573428353,1.118033988749895,11.26623041903521
variant_b,16,10016,1.0,0.3999998986752647,31,3.750000949919634,1.5,11.705168584093709
variant_b,17,10017,1.0,0.3328712871164119,50,4.750000649744336,1.5811388300841898,11.222603653104759
variant_b,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_b,19,10019,1.0,0.6249999940378139,11,2.0000000190789957,1.25,11.55114875376667
variant_b,20,10020,1.0,0.2857142641866534,62,7.000000527427031,2.0,11.94148521401407
variant_b,21,10021,1.0,0.25474578869029363,124,11.249999843941847,2.8658900830106457,12.110007173730537
variant_b,22,10022,1.0,0.5000001357784563,19,0.9999997284431612,0.5,10.69596688191007
variant_b,23,10023,1.0,0.2721938387706415,102,8.50000063642534,2.3136478027815093,11.404841863127235
variant_b,24,10024,1.0,0.4166666090764999,35,3.000000414649258,1.25,11.697001366603846
