level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7403333275515045,16.0,10.221233949776403,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.92,0.6984285674920879,23.88,9.731366743229678,25,0.039999999999999925,0.04166666666666659,0.04190476005941657,0.05660255792888276
F_clut,F_clut,0.96,0.7403333275515045,16.0,10.221233949776403,25,0.0,0.0,0.0,0.0
F_obj,F_obj,0.92,0.6984285674920879,23.88,9.731366743229678,25,0.039999999999999925,0.04166666666666659,0.04190476005941657,0.05660255792888276
F_mat,F_mat,1.0,0.7803333237923907,8.88,10.709153021477219,25,-0.040000000000000036,-0.041666666666666706,-0.03999999624088624,-0.05402971168835225
F_light,F_light,0.96,0.74033332554353,16.04,10.222830246376809,25,0.0,0.0,2.0079744533774146e-09,2.7122572747310516e-09
F_sky,F_sky,0.96,0.7367619022131996,16.16,10.212464141220234,25,0.0,0.0,0.003571425338304901,0.004824077486983645
L1,B_L1 (materials + lighting),1.0,0.7803333235481797,9.08,10.70875945555894,25,-0.040000000000000036,-0.041666666666666706,-0.03999999599667525,-0.05402971135848599
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.92,0.7003333237923907,23.68,9.717055680504693,25,0.039999999999999925,0.04166666666666659,0.040000003759113834,0.05402972184354494
L2,B_L2 (+ object appearance),0.92,0.7003333237923907,23.68,9.717055680504693,25,0.039999999999999925,0.04166666666666659,0.040000003759113834,0.05402972184354494
L3,B_L3 (+ distractors),0.92,0.7003333237923907,23.68,9.717055680504693,25,0.039999999999999925,0.04166666666666659,0.040000003759113834,0.05402972184354494
