level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7098233411942135,14.16,10.390866934617138,25,0.0,0.0,0.0,0.0
F_objall,F_objall,1.0,0.7178669944454963,7.0,10.901424872851763,25,-0.040000000000000036,-0.041666666666666706,-0.008043653251282756,-0.011331908637647837
F_clut,F_clut,0.96,0.7083947687977655,14.24,10.388495335304691,25,0.0,0.0,0.0014285723964480024,0.0020125745569940807
F_obj,F_obj,0.96,0.7098233411942135,14.16,10.3942456136859,25,0.0,0.0,0.0,0.0
F_tgt,F_tgt,1.0,0.7197526040739167,6.76,10.903511479634568,25,-0.040000000000000036,-0.041666666666666706,-0.009929262879703193,-0.013988357811674814
F_mat,F_mat,0.68,0.4730805832532687,68.64,6.852911137409922,25,0.2799999999999999,0.2916666666666666,0.23674275794094485,0.33352348986248687
F_light,F_light,0.8,0.6002272631305029,45.04,8.410636355151876,25,0.15999999999999992,0.1666666666666666,0.10959607806371063,0.1543990901726691
F_sky,F_sky,0.92,0.6983947673180001,21.64,9.908270168388475,25,0.039999999999999925,0.04166666666666659,0.011428573876213433,0.01610058899582802
L1,B_L1 (materials + lighting),0.36,0.33,129.12,2.4354866217517555,25,0.6,0.625,0.3798233411942135,0.5350955923134271
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.36,0.33,129.24,2.439839896497217,25,0.6,0.625,0.3798233411942135,0.5350955923134271
L2,B_L2 (+ object appearance),0.16,0.16,168.2,-0.0485432246369615,25,0.7999999999999999,0.8333333333333333,0.5498233411942135,0.7745918023337828
L3,B_L3 (+ distractors),0.16,0.16,168.24,-0.03017714197306681,25,0.7999999999999999,0.8333333333333333,0.5498233411942135,0.7745918023337828
