level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7367686521551906,26.32,12.556966248166567,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.64,0.4060770051929753,83.6,7.915088163876903,25,0.31999999999999995,0.3333333333333333,0.3306916469622153,0.44884054987257993
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.64,0.39243322491114385,83.76,8.130279557468448,25,0.31999999999999995,0.3333333333333333,0.34433542724404675,0.46735895485889517
L2,B_L2 (+ object appearance),0.64,0.42850027422593334,84.04,8.013042432990419,25,0.31999999999999995,0.3333333333333333,0.30826837792925726,0.4184059365548639
L3,B_L3 (+ distractors),0.64,0.4251669384354193,84.24,8.037938931738102,25,0.31999999999999995,0.3333333333333333,0.3116017137197713,0.4229302004208188
