level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.52,0.40669863297526376,125.64,6.62845226768306,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.04,0.04,192.12,-2.097036644093424,25,0.48000000000000004,0.9230769230769231,0.3666986329752638,0.9016470753605094
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.04,0.04,192.16,-1.9292817627079304,25,0.48000000000000004,0.9230769230769231,0.3666986329752638,0.9016470753605094
L2,B_L2 (+ object appearance),0.04,0.04,192.2,-2.212141531051268,25,0.48000000000000004,0.9230769230769231,0.3666986329752638,0.9016470753605094
L3,B_L3 (+ distractors),0.0,0.0,200.0,-2.7741331144777264,25,0.52,1.0,0.40669863297526376,1.0
