level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.08,0.08,184.64,-0.44173286000421785,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.84,0.6366125531235889,66.28,8.459501051458632,25,-0.76,-9.5,-0.5566125531235889,-6.957656914044861
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.68,0.5398730145841055,96.72,6.498175903368557,25,-0.6000000000000001,-7.500000000000001,-0.4598730145841055,-5.748412682301319
L2,B_L2 (+ object appearance),0.72,0.577936508090637,88.76,6.971767268626613,25,-0.64,-8.0,-0.497936508090637,-6.224206351132962
L3,B_L3 (+ distractors),0.72,0.6134920634376826,99.68,6.873449759757745,25,-0.64,-8.0,-0.5334920634376826,-6.668650792971032
