level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7800462756391339,17.56,10.969928343075924,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.88,0.688314027930394,33.56,9.926856142384525,25,0.07999999999999996,0.0833333333333333,0.09173224770873989,0.11759846892875518
F_clut,F_clut,0.96,0.7775617576570372,17.6,10.96953055538054,25,0.0,0.0,0.002484517982096701,0.0031850904999975826
F_obj,F_obj,0.88,0.6876846768673053,33.4,9.870069173170867,25,0.07999999999999996,0.0833333333333333,0.09236159877182859,0.1184052813996859
F_tgt,F_tgt,0.96,0.7825034891222192,17.48,10.963627442131559,25,0.0,0.0,-0.002457213483085363,-0.0031500868087243105
F_mat,F_mat,0.96,0.7713782675631035,18.24,11.12137381504616,25,0.0,0.0,0.008668008076030409,0.011112171606650187
F_light,F_light,0.96,0.7666785706147244,17.84,10.961189000140724,25,0.0,0.0,0.013367705024409426,0.017137066661149745
F_sky,F_sky,1.0,0.7912544177420338,10.68,11.610251452835225,25,-0.040000000000000036,-0.041666666666666706,-0.011208142102899887,-0.014368560498178718
L1,B_L1 (materials + lighting),0.96,0.7729297021568335,18.32,11.105505011579217,25,0.0,0.0,0.007116573482300326,0.009123270893729137
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.84,0.6669001833717636,40.52,9.42911792520061,25,0.12,0.125,0.11314609226737027,0.1450504871325276
L2,B_L2 (+ object appearance),0.8,0.6404779480879157,48.76,8.854544931480303,25,0.15999999999999992,0.1666666666666666,0.13956832755121817,0.1789231381649279
L3,B_L3 (+ distractors),0.72,0.5804136960718589,64.04,7.885610335668516,25,0.24,0.25,0.19963257956727498,0.2559240211790067
