level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.6208775689241677,23.32,13.785626364521756,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.44,0.24511897579468325,123.96,6.461955343727666,25,0.56,0.56,0.37575859312948445,0.605205618525701
L2,B_L2 (+ object appearance),0.32,0.21981370910097087,143.28,4.497684421340331,25,0.6799999999999999,0.6799999999999999,0.4010638598231968,0.6459628756087042
L3,B_L3 (+ distractors),0.32,0.21052096480162344,144.28,4.3777319343349435,25,0.6799999999999999,0.6799999999999999,0.41035660412254427,0.6609299879098453
