level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.92,0.7567082396515831,24.8,10.472316250815801,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.92,0.7579119726655904,25.04,10.459058353394346,25,0.0,0.0,-0.0012037330140073355,-0.0015907491830161376
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.88,0.7117283949912714,32.56,9.85940742379639,25,0.040000000000000036,0.04347826086956525,0.044979844660311685,0.05944146277701707
L2,B_L2 (+ object appearance),0.84,0.6767126098417897,40.08,9.391336382849547,25,0.08000000000000007,0.0869565217391305,0.07999562980979336,0.10571528842691914
L3,B_L3 (+ distractors),0.84,0.6745368975064109,40.08,9.385863180993631,25,0.08000000000000007,0.0869565217391305,0.08217134214517219,0.10859052120670308
