level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.8080871061839936,11.28,11.604383558491582,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.48,0.3950946602878377,109.96,4.667010408583793,25,0.52,0.52,0.4129924458961559,0.511074168534155
L2,B_L2 (+ object appearance),0.24,0.2107991521151927,155.8,1.5671831667126914,25,0.76,0.76,0.5972879540688009,0.7391380823898509
L3,B_L3 (+ distractors),0.24,0.2107991521151927,155.8,1.5671831667126914,25,0.76,0.76,0.5972879540688009,0.7391380823898509
