level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.7361581341257489,22.28,12.54058726903455,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.0,0.0,200.0,-2.223157712613987,25,1.0,1.0,0.7361581341257489,1.0
L2,B_L2 (+ object appearance),0.0,0.0,200.0,-2.2124667217275023,25,1.0,1.0,0.7361581341257489,1.0
L3,B_L3 (+ distractors),0.0,0.0,200.0,-2.2124116510580563,25,1.0,1.0,0.7361581341257489,1.0
