variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes
A (train visuals),0.88,0.6309694839424259,35.32,10.05366639513746,25
B (zero-shot visuals),0.36,0.26943329151005085,133.28,3.01060981667766,25
