level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.92,0.6943947575749208,22.32,9.882504280682507,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.24,0.24,153.0,0.869999999999999,25,0.68,0.7391304347826088,0.45439475757492076,0.6543752708644182
L2,B_L2 (+ object appearance),0.2,0.2,160.72,0.3927999999999989,25,0.72,0.7826086956521738,0.49439475757492074,0.7119793923870151
L3,B_L3 (+ distractors),0.2,0.2,160.72,0.3927999999999989,25,0.72,0.7826086956521738,0.49439475757492074,0.7119793923870151
