variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes
A (train visuals),0.84,0.5910642180591495,43.24,9.450667868776746,25
B (zero-shot visuals),0.4,0.2725838383644977,125.64,3.3513509712622156,25
