level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7740360191785624,17.92,10.956266298427682,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.84,0.6473655107612848,41.28,9.404700840081317,25,0.12,0.125,0.12667050841727756,0.16364937196553891
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.88,0.6604209955570707,36.6,9.9530638527385,25,0.07999999999999996,0.0833333333333333,0.11361502362149167,0.14678260546849542
L2,B_L2 (+ object appearance),0.8,0.6334737678392586,52.36,8.704443201639616,25,0.15999999999999992,0.1666666666666666,0.14056225133930378,0.18159652504088117
L3,B_L3 (+ distractors),0.6,0.5111718785291305,87.12,5.980843345450016,25,0.36,0.375,0.26286414064943187,0.3396019489227306
