level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.773788724408591,21.04,13.19179268463847,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.28,0.21830151642605292,148.24,3.54034803937298,25,0.72,0.72,0.5554872079825381,0.7178796879046003
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.32,0.20735618030144404,141.16,3.8986517640781124,25,0.6799999999999999,0.6799999999999999,0.5664325441071469,0.7320248101832616
L2,B_L2 (+ object appearance),0.28,0.20987806199702588,149.04,3.697665207193935,25,0.72,0.72,0.5639106624115652,0.7287656754659533
L3,B_L3 (+ distractors),0.32,0.22794820513738237,141.8,4.134020348809226,25,0.6799999999999999,0.6799999999999999,0.5458405192712087,0.7054128627790437
