level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.8012885176930951,21.72,13.222401922760303,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.84,0.46940674097363355,93.68,10.954840829594461,25,0.16000000000000003,0.16000000000000003,0.3318817767194615,0.4141851148384694
L2,B_L2 (+ object appearance),0.56,0.32962718811066016,130.16,6.48896289502369,25,0.43999999999999995,0.43999999999999995,0.4716613295824349,0.5886285890384965
L3,B_L3 (+ distractors),0.76,0.4229032021278383,103.96,9.337982644511294,25,0.24,0.24,0.3783853155652568,0.47222106296322064
