level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7828784494698741,19.76,10.953996651568605,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.8,0.6504095121317911,51.8,8.919698008493647,25,0.15999999999999992,0.1666666666666666,0.13246893733808296,0.1692075410017791
F_clut,F_clut,0.96,0.7828784494698741,19.76,10.953996651568605,25,0.0,0.0,0.0,0.0
F_obj,F_obj,0.92,0.7414430163340451,27.12,10.389642845651185,25,0.039999999999999925,0.04166666666666659,0.04143543313582898,0.052927032496407296
F_tgt,F_tgt,0.84,0.7032711309652149,42.88,9.324128334590132,25,0.12,0.125,0.07960731850465919,0.1016854130530292
F_mat,F_mat,0.88,0.7322335042884802,34.24,9.877071287130986,25,0.07999999999999996,0.0833333333333333,0.05064494518139384,0.06469068757185494
F_light,F_light,1.0,0.8059181159583756,12.92,11.585577174719429,25,-0.040000000000000036,-0.041666666666666706,-0.02303966648850153,-0.029429429950591737
F_sky,F_sky,0.96,0.782878442917461,19.88,10.961959460090092,25,0.0,0.0,6.5524130565819405e-09,8.369642900528052e-09
L1,B_L1 (materials + lighting),0.84,0.7002896955175405,41.76,9.296999349858362,25,0.12,0.125,0.08258875395233356,0.10549371234865197
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.88,0.7201658445714778,35.32,9.815710516661529,25,0.07999999999999996,0.0833333333333333,0.06271260489839625,0.08010516184327475
L2,B_L2 (+ object appearance),0.68,0.5862243588283664,72.92,7.24278688633556,25,0.2799999999999999,0.2916666666666666,0.19665409064150763,0.251193644140635
L3,B_L3 (+ distractors),0.68,0.5862243588283664,72.92,7.24278688633556,25,0.2799999999999999,0.2916666666666666,0.19665409064150763,0.251193644140635
