level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.92,0.6943947539817634,21.84,9.905974835207703,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.72,0.5861904777984717,60.48,7.161870575951793,25,0.20000000000000007,0.21739130434782614,0.10820427618329176,0.15582530766949526
F_clut,F_clut,0.84,0.6143947539817635,37.12,8.92971756490946,25,0.08000000000000007,0.0869565217391305,0.07999999999999996,0.11520824364134089
F_obj,F_obj,1.0,0.7172519032278274,6.84,10.86451802774422,25,-0.07999999999999996,-0.08695652173913039,-0.022857149246063968,-0.03291665024108788
F_tgt,F_tgt,0.76,0.5850466490921518,52.88,7.824043639190979,25,0.16000000000000003,0.1739130434782609,0.10934810488961166,0.15747253887301607
F_mat,F_mat,0.24,0.24,152.32,0.9366623182345879,25,0.68,0.7391304347826088,0.45439475398176343,0.6543752690759772
F_light,F_light,0.92,0.6962272573895647,21.8,9.90036857585085,25,0.0,0.0,-0.001832503407801278,-0.002638993738494465
F_sky,F_sky,0.92,0.6962272573895647,21.8,9.90036857585085,25,0.0,0.0,-0.001832503407801278,-0.002638993738494465
L1,B_L1 (materials + lighting),0.2,0.2,160.28,0.39719999999999894,25,0.72,0.7826086956521738,0.4943947539817634,0.7119793908966476
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.2,0.2,160.28,0.39719999999999894,25,0.72,0.7826086956521738,0.4943947539817634,0.7119793908966476
L2,B_L2 (+ object appearance),0.2,0.2,160.32,0.39679999999999893,25,0.72,0.7826086956521738,0.4943947539817634,0.7119793908966476
L3,B_L3 (+ distractors),0.2,0.2,160.32,0.39679999999999893,25,0.72,0.7826086956521738,0.4943947539817634,0.7119793908966476
