level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.8142817871873441,20.6,13.19759064514757,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.68,0.458433984833716,121.8,7.783200097542678,25,0.31999999999999995,0.31999999999999995,0.3558478023536281,0.4370081806481043
L2,B_L2 (+ object appearance),0.12,0.08340054470687203,185.4,0.7246564183724301,25,0.88,0.88,0.730881242480472,0.8975777844731729
L3,B_L3 (+ distractors),0.04,0.010000002906358623,192.96,0.05353425037268474,25,0.96,0.96,0.8042817842809855,0.9877192354493152
