level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.88,0.651585809544141,41.64,11.468236530666621,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.84,0.6214883097151523,49.44,10.896619606675928,25,0.040000000000000036,0.0454545454545455,0.030097499828988683,0.04619115301182715
F_clut,F_clut,0.84,0.6376242083446624,48.92,10.93621759490978,25,0.040000000000000036,0.0454545454545455,0.013961601199478646,0.021427110589235188
F_obj,F_obj,0.88,0.6457155437377589,42.32,11.559813581688477,25,0.0,0.0,0.005870265806382169,0.009009198359444158
F_tgt,F_tgt,0.88,0.6584248380208028,41.32,11.41439592381104,25,0.0,0.0,-0.006839028476661735,-0.010495975167793202
F_mat,F_mat,0.56,0.373808603102425,98.08,6.503026637125153,25,0.31999999999999995,0.3636363636363636,0.27777720644171605,0.4263094781576859
F_light,F_light,0.84,0.6140014534775324,47.88,10.85625857360072,25,0.040000000000000036,0.0454545454545455,0.03758435606660859,0.05768136063752395
F_sky,F_sky,0.88,0.6767730986552695,40.72,11.357740523062642,25,0.0,0.0,-0.02518728911112844,-0.03865536778455909
L1,B_L1 (materials + lighting),0.6,0.4157925847952982,91.4,7.049836946795065,25,0.28,0.31818181818181823,0.23579322474884284,0.36187593605484936
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.6,0.3648081332302309,95.0,7.114823964723073,25,0.28,0.31818181818181823,0.2867776763139101,0.44012265478056367
L2,B_L2 (+ object appearance),0.44,0.28416102017192485,121.08,4.915039978779234,25,0.44,0.5,0.3674247893722162,0.5638931726110977
L3,B_L3 (+ distractors),0.44,0.28416102126962883,121.0,4.910877919069422,25,0.44,0.5,0.3674247882745122,0.5638931709264324
