level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.88,0.6584285654522196,30.68,9.24611417016725,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.88,0.6584285654522196,30.68,9.24611417016725,25,0.0,0.0,0.0,0.0
L2,B_L2 (+ object appearance),0.76,0.572714278882367,53.2,7.63439064792767,25,0.12,0.13636363636363635,0.08571428656985258,0.13018008492839706
L3,B_L3 (+ distractors),0.76,0.572714278882367,53.2,7.63439064792767,25,0.12,0.13636363636363635,0.08571428656985258,0.13018008492839706
