level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.7718155820182983,14.64,11.566407479709637,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),1.0,0.7426989113445689,17.68,11.52580241781869,25,0.0,0.0,0.02911667067372936,0.03772490650886997
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",1.0,0.7362118284504736,19.72,11.481909888104287,25,0.0,0.0,0.035603753567824636,0.04612987143213771
L2,B_L2 (+ object appearance),1.0,0.6264943910745938,35.6,11.320905916393436,25,0.0,0.0,0.14532119094370444,0.18828486276953546
L3,B_L3 (+ distractors),1.0,0.6505216301960847,38.16,11.287243384409464,25,0.0,0.0,0.12129395182221359,0.15715405939982427
