level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.5973709150082347,24.8,13.911021135697606,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.96,0.6382153841325041,29.64,12.992291870952174,25,0.040000000000000036,0.040000000000000036,-0.04084446912426942,-0.06837371572351557
F_clut,F_clut,1.0,0.5948673332847676,24.4,13.929744228688465,25,0.0,0.0,0.0025035817234670965,0.0041910003660499354
F_obj,F_obj,1.0,0.606188316932408,25.24,13.865770199809356,25,0.0,0.0,-0.008817401924173351,-0.014760346884400631
F_tgt,F_tgt,1.0,0.6624273804003541,22.36,13.692099631711631,25,0.0,0.0,-0.0650564653921194,-0.10890464158473903
F_mat,F_mat,1.0,0.5405581976325311,28.88,13.917053029166823,25,0.0,0.0,0.05681271737570359,0.09510459238699366
F_light,F_light,1.0,0.5961372064577055,25.32,13.913609956890161,25,0.0,0.0,0.0012337085505291778,0.0020652303611269243
F_sky,F_sky,1.0,0.5990094631033387,25.36,13.894670477669003,25,0.0,0.0,-0.0016385480951039977,-0.0027429324962722876
L1,B_L1 (materials + lighting),1.0,0.5702387357510768,28.56,13.856137803593086,25,0.0,0.0,0.02713217925715794,0.04541931750524534
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",1.0,0.5771481109149758,35.4,13.763768118265464,25,0.0,0.0,0.02022280409325894,0.03385301089354203
L2,B_L2 (+ object appearance),0.92,0.6077960900204014,44.24,12.337424254388209,25,0.07999999999999996,0.07999999999999996,-0.010425175012166665,-0.017451761962704454
L3,B_L3 (+ distractors),0.92,0.556982895102662,49.04,12.321607964720686,25,0.07999999999999996,0.07999999999999996,0.040388019905572725,0.0676096188998689
