level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.7277344892367895,26.52,12.565238651661508,25,0.0,0.0,0.0,0.0
F_objall,F_objall,0.92,0.6873515150905817,33.64,11.804719544624213,25,0.039999999999999925,0.04166666666666659,0.04038297414620784,0.05549135672896227
F_clut,F_clut,0.96,0.729796439348842,26.4,12.569707728911494,25,0.0,0.0,-0.0020619501120524575,-0.002833382425250897
F_obj,F_obj,0.92,0.7067728377009694,33.88,11.809016145142419,25,0.039999999999999925,0.04166666666666659,0.02096165153582008,0.028803982559358402
F_tgt,F_tgt,0.96,0.7128529833302718,26.52,12.551005385359945,25,0.0,0.0,0.014881505906517711,0.02044908703189905
F_mat,F_mat,0.64,0.40622388274016485,82.76,7.8665175216348056,25,0.31999999999999995,0.3333333333333333,0.32151060649662466,0.44179657725691746
F_light,F_light,0.96,0.7501859248806363,26.48,12.563911504669017,25,0.0,0.0,-0.022451435643846773,-0.030851135923752472
F_sky,F_sky,0.96,0.7153823467411641,26.92,12.564614679019178,25,0.0,0.0,0.01235214249562544,0.01697341912237763
L1,B_L1 (materials + lighting),0.64,0.4037769219350003,83.36,7.8405980172269345,25,0.31999999999999995,0.3333333333333333,0.3239575673017892,0.4451590134769334
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.52,0.3044685340556587,104.56,6.4774817446695145,25,0.43999999999999995,0.4583333333333333,0.4232659551811308,0.5816214037416728
L2,B_L2 (+ object appearance),0.68,0.4436926196712369,75.88,8.67245779239076,25,0.2799999999999999,0.2916666666666666,0.2840418695655526,0.39030975412947805
L3,B_L3 (+ distractors),0.56,0.32954394899507067,97.2,6.932695696257411,25,0.3999999999999999,0.4166666666666666,0.39819054024171885,0.5471645856159993
