level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.7023747526309814,20.4,11.483428713198991,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),1.0,0.6517985039381395,35.24,11.345147383969673,25,0.0,0.0,0.05057624869284183,0.07200749813883749
L2,B_L2 (+ object appearance),1.0,0.6282071363238786,44.08,11.220199826084563,25,0.0,0.0,0.07416761630710278,0.1055955044358912
L3,B_L3 (+ distractors),1.0,0.6595505777796518,36.6,11.316216685578688,25,0.0,0.0,0.04282417485132961,0.060970549825313664
