level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,0.0,0.0,200,1.4999998349542045,0.5,-0.6061901011696537
A,A (train visuals),1,10001,1.0,1.0,14,1.0,0.0,9.889996924154998
A,A (train visuals),2,10002,1.0,0.5000000936987941,9,0.999999812602447,0.5,10.859734220205606
A,A (train visuals),3,10003,0.0,0.0,200,4.249999963538189,0.0,-2.6071109596692157
A,A (train visuals),4,10004,0.0,0.0,200,2.750000000000009,0.5,-0.41134539853790514
A,A (train visuals),5,10005,1.0,1.0,12,1.0000000286184725,0.0,9.536094460448483
A,A (train visuals),6,10006,0.0,0.0,200,2.999999781502298,0.0,-1.4951888770912045
A,A (train visuals),7,10007,0.0,0.0,200,1.250000029802325,0.0,-1.0406412944358525
A,A (train visuals),8,10008,1.0,1.0,16,1.0,0.0,9.869996924154997
A,A (train visuals),9,10009,1.0,0.19999999389472606,11,1.2500000381579632,0.25,10.84292102090772
A,A (train visuals),10,10010,0.0,0.0,200,3.499999776140635,0.5,-0.5520723989160788
A,A (train visuals),11,10011,0.0,0.0,200,4.500000354930636,0.7071067811865476,-0.3244561251057897
A,A (train visuals),12,10012,0.0,0.0,200,3.999999795219617,1.0307764064044151,0.04495010021594592
A,A (train visuals),13,10013,0.0,0.0,200,3.2499997761406187,0.0,-2.08961742560767
A,A (train visuals),14,10014,0.0,0.0,200,1.5000000476974538,0.0,-2.384767789900229
A,A (train visuals),15,10015,0.0,0.0,200,3.5000005274270305,1.0606601717798212,-0.5456962346608668
A,A (train visuals),16,10016,1.0,1.0,15,0.5000002255555447,0.0,10.2679886918238
A,A (train visuals),17,10017,1.0,0.3999999847368062,60,1.2500000476974824,0.5,10.4491717636224
A,A (train visuals),18,10018,1.0,1.0,8,0.25000011277777234,0.0,10.110800746290055
A,A (train visuals),19,10019,0.0,0.0,200,3.0000000763159336,0.5,-0.4521002659712471
A,A (train visuals),20,10020,0.0,0.0,200,1.7500000572369587,0.0,-1.338155549668544
A,A (train visuals),21,10021,0.0,0.0,200,1.5000001509357355,0.0,-1.5379841250813904
A,A (train visuals),22,10022,0.0,0.0,200,3.2500002230738665,0.7071067811865476,-0.2401726960863591
A,A (train visuals),23,10023,0.0,0.0,200,0.5000002330061222,0.0,-1.6052042227105927
A,A (train visuals),24,10024,0.0,0.0,200,5.99999979241071,0.0,-2.502423955584048
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,1.7500005936911796,0.5,-0.5095004608684094
L1,B_L1 (materials + lighting),1,10001,1.0,1.0,1,0.2500000095394908,0.0,10.114082960724788
L1,B_L1 (materials + lighting),2,10002,1.0,0.0666666686565278,194,7.499999776140629,0.5,9.064198259552272
L1,B_L1 (materials + lighting),3,10003,1.0,1.0,1,0.0,0.0,9.99
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,2.7500004606505875,0.5,-0.16949388406406735
L1,B_L1 (materials + lighting),5,10005,1.0,1.0,1,0.0,0.0,9.99
L1,B_L1 (materials + lighting),6,10006,1.0,1.0,27,3.499999879378925,0.0,10.546536874700063
L1,B_L1 (materials + lighting),7,10007,1.0,1.0,18,1.5000000298023313,0.0,11.020831425312338
L1,B_L1 (materials + lighting),8,10008,0.0,0.0,200,0.25,0.0,-2.124949422119849
L1,B_L1 (materials + lighting),9,10009,1.0,0.04166666450409037,145,6.000000311411003,0.25,9.505077850294693
L1,B_L1 (materials + lighting),10,10010,1.0,0.12499999056651635,41,4.000000301871499,0.5,11.208245872444865
