variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
variant_a,0,10000,1.0,0.7777778425571842,13,2.249999812602447,1.75,12.063491013670285
variant_a,1,10001,1.0,0.5150786124386059,12,1.7500004797295619,0.9013878188659973,11.584152012581713
variant_a,2,10002,1.0,0.7985953717272128,17,3.5000014661110415,2.7950849718747373,13.1785361803327
variant_a,3,10003,1.0,0.5000001873976233,10,1.4999994378073407,0.75,11.367713963975415
variant_a,4,10004,1.0,0.5999997293334685,11,1.2500005638888618,0.75,11.12726548685141
variant_a,5,10005,1.0,0.6555545308497689,18,2.7500010340789336,1.8027756377319946,12.350600091825015
variant_a,6,10006,1.0,0.6000001257683466,11,1.2499997379826662,0.75,11.139317283394503
variant_a,7,10007,1.0,0.8188258969699493,22,3.4999993205097946,2.8658900830106457,13.126354285088535
variant_a,8,10008,1.0,0.6249998500845478,9,2.000000479729562,1.25,11.838950776995704
variant_a,9,10009,1.0,0.6388766536900156,13,1.749999757061662,1.118033988749895,11.411594589966429
variant_a,10,10010,1.0,0.7142857103920446,19,1.7500000095394908,1.25,11.525003620926997
variant_a,11,10011,1.0,1.0,7,0.750000338333317,0.0,10.403029892951928
variant_a,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_a,13,10013,1.0,1.0,2,0.24999990630122346,0.0,10.22432689141664
variant_a,14,10014,1.0,0.7777779721160295,12,2.249999437807341,1.75,12.061252765183564
variant_a,15,10015,1.0,0.5590168998079265,39,2.000000338333317,1.118033988749895,11.047624633673674
variant_a,16,10016,1.0,0.75,16,2.0,1.5,11.837441698101673
variant_a,17,10017,1.0,0.6324553584357795,18,2.5000006862061253,1.5811388300841898,11.601178391476251
variant_a,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_a,19,10019,1.0,0.7142857142857143,17,1.75,1.25,11.547032664505341
variant_a,20,10020,1.0,0.7272727768324142,16,2.7499998126024465,2.0,12.420053960898883
variant_a,21,10021,1.0,0.88181252626477,19,3.2499992885677647,2.8658900830106457,12.981734082638528
variant_a,22,10022,1.0,0.5000001357784563,5,0.9999997284431612,0.5,10.835966881910071
variant_a,23,10023,1.0,0.8413263920422509,27,2.7500002670370516,2.3136478027815093,12.26534558665335
variant_a,24,10024,1.0,0.6249998843562975,13,2.0000003700599165,1.25,11.84036503122585
variant_b,0,10000,1.0,0.7777777656617273,25,2.250000035050004,1.75,11.943491247030185
variant_b,1,10001,1.0,0.5150786732109703,22,1.7500002732530127,0.9013878188659973,11.292805605258017
variant_b,2,10002,0.0,0.0,200,6.999999745894827,2.7950849718747373,-2.061593951042975
variant_b,3,10003,1.0,0.3333333262670399,55,2.250000047697482,0.75,10.853583687710444
variant_b,4,10004,1.0,0.2307692806077796,62,3.2499992981072556,0.75,10.57712036219188
variant_b,5,10005,1.0,0.42418239407411634,120,4.250001091315921,1.8027756377319946,11.233763716142457
variant_b,6,10006,1.0,0.4999999592275823,20,1.5000001223172632,0.75,11.099586705168711
variant_b,7,10007,1.0,0.8188259482845143,22,3.499999101170211,2.8658900830106457,13.03751655190278
variant_b,8,10008,1.0,0.6249998148415129,11,2.0000005925073343,1.25,11.877974689334868
variant_b,9,10009,1.0,0.638876694862073,136,1.7499996442838897,1.118033988749895,10.281804277916688
variant_b,10,10010,0.0,0.0,200,3.2500002637135363,1.25,-2.1510825812244234
variant_b,11,10011,1.0,1.0,114,0.5000001127777723,0.0,9.281857247923751
variant_b,12,10012,1.0,1.0,1,0.0,0.0,9.99
variant_b,13,10013,1.0,1.0,5,0.5000001223172632,0.0,10.365409259083421
variant_b,14,10014,1.0,0.6999999866447052,31,2.5000000476974824,1.75,12.031700022060221
variant_b,15,10015,0.0,0.0,200,3.0000005083480765,1.118033988749895,-2.3989569642060897
variant_b,16,10016,1.0,0.7499999433990928,33,2.000000150935764,1.5,11.504073691848419
variant_b,17,10017,0.0,0.0,200,8.250002819444305,1.5811388300841898,-1.4654113335681047
variant_b,18,10018,1.0,1.0,1,0.0,0.0,9.99
variant_b,19,10019,1.0,0.5555555532001257,72,2.250000009539491,1.25,10.995003620926997
variant_b,20,10020,1.0,0.7272728263921078,34,2.7499996252048935,2.0,12.300997600464962
variant_b,21,10021,1.0,0.7642372230538266,47,3.750000649744322,2.8658900830106457,12.8311433195988
variant_b,22,10022,0.0,0.0,200,3.250000263713536,0.5,-3.6671637846236758
variant_b,23,10023,1.0,0.6169727549768169,55,3.749999953998691,2.3136478027815093,12.087862203959387
variant_b,24,10024,0.0,0.0,200,1.2500000381579917,1.25,-2.1149331990180276
