variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes
A (train visuals),1.0,0.7301176868451364,13.92,11.59033327144978,25
B (zero-shot visuals),0.76,0.5191152857881596,82.64,7.988662079793548,25
