variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes
A (train visuals),0.3333333333333333,0.2661984643688225,38.0,3.376874473819894,3
B (zero-shot visuals),0.3333333333333333,0.2661984643688225,38.0,3.376874473819894,3
