level,variant,episode,seed,success,spl,episode_length,path_length,shortest_path_length,total_reward
A,A (train visuals),0,10000,1.0,0.625,8,2.0,1.25,11.889206501980878
A,A (train visuals),1,10001,1.0,0.6428571941755379,15,3.4999997205998716,2.25,13.171644603003923
A,A (train visuals),2,10002,1.0,0.7716300587881031,41,8.000000838838245,6.173041117577629,15.85373067400667
A,A (train visuals),3,10003,1.0,0.6000001257683466,11,2.4999994759653323,1.5,12.224200144724593
A,A (train visuals),4,10004,1.0,1.0,146,0.75,0.0,8.963480412590785
A,A (train visuals),5,10005,0.0,0.0,200,0.5,0.0,-2.208461916834335
A,A (train visuals),6,10006,1.0,1.0,10,0.9999998316814285,0.0,10.759402755077552
A,A (train visuals),7,10007,1.0,1.0,5,0.750000338333317,0.0,10.634205381914756
A,A (train visuals),8,10008,1.0,0.6428571941755379,15,3.4999997205998716,2.25,13.171644603003923
A,A (train visuals),9,10009,1.0,0.7323134544835247,41,7.000000368647975,5.126194451350545,14.348921864144838
A,A (train visuals),10,10010,1.0,0.5766515194250967,21,3.4999994568863353,2.0182800048005185,12.881112726344414
A,A (train visuals),11,10011,1.0,0.6988621150263109,32,5.749999298107255,4.0184566708750395,13.933550483809762
A,A (train visuals),12,10012,1.0,1.0,14,1.4999999444591867,0.0,10.801273512935179
A,A (train visuals),13,10013,1.0,1.0,139,1.2500001127777725,0.0,9.48087981070776
A,A (train visuals),14,10014,1.0,1.0,13,1.0000000190789957,0.0,10.835300225003747
A,A (train visuals),15,10015,1.0,0.7107084548473815,36,5.999999579203599,4.264250430020729,14.948875414726523
A,A (train visuals),16,10016,1.0,0.6876942755092172,25,4.749999250409786,3.2665472931798827,14.089108552236702
A,A (train visuals),17,10017,1.0,0.7728260687813706,39,7.500000481425948,5.7961958879188025,15.932408202183032
A,A (train visuals),18,10018,1.0,0.6773821952946398,38,5.750000536966562,3.8949479866757675,13.752804811379896
A,A (train visuals),19,10019,1.0,0.5766512812951264,28,3.5000009022221796,2.0182800048005185,12.811113761638413
A,A (train visuals),20,10020,1.0,0.7,16,2.5,1.75,12.33565967450849
A,A (train visuals),21,10021,1.0,1.0,9,0.75,0.0,10.641891068277031
A,A (train visuals),22,10022,1.0,0.684650157652357,37,6.500000320950508,4.450226244479136,13.860213358082243
A,A (train visuals),23,10023,1.0,0.4,6,1.25,0.5,11.186806696366414
A,A (train visuals),24,10024,1.0,0.6428568528572874,19,3.500001578888814,2.25,13.131646741521298
L1,B_L1 (materials + lighting),0,10000,0.0,0.0,200,1.9999999539986917,1.25,-1.3228747399048975
L1,B_L1 (materials + lighting),1,10001,1.0,0.5624999099712121,60,4.000000640204816,2.25,12.681298815813655
L1,B_L1 (materials + lighting),2,10002,0.0,0.0,200,2.2500001669067435,6.173041117577629,-2.857619591087979
L1,B_L1 (materials + lighting),3,10003,0.0,0.0,200,2.750000057236974,1.5,-0.28260450257078246
L1,B_L1 (materials + lighting),4,10004,0.0,0.0,200,4.500000937272169,0.0,-4.7830919296168775
L1,B_L1 (materials + lighting),5,10005,0.0,0.0,200,0.2500000095394908,0.0,-2.1888023176334763
