level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),0.96,0.780408493423633,17.52,10.970913933623438,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.88,0.7085577119236257,32.6,9.864801372519109,25,0.07999999999999996,0.0833333333333333,0.07185078150000734,0.09206816956181463
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.68,0.5086552060222828,70.8,7.347408940491383,25,0.2799999999999999,0.2916666666666666,0.2717532874013503,0.3482192847609529
L2,B_L2 (+ object appearance),0.4,0.3152428104323167,124.28,3.6517336567110963,25,0.5599999999999999,0.5833333333333333,0.46516568299131633,0.596054101039631
L3,B_L3 (+ distractors),0.4,0.3285761433598833,123.68,3.541014800432082,25,0.5599999999999999,0.5833333333333333,0.4518323500637498,0.578969032079049
