level,variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes,success_drop_abs,success_drop_rel,spl_drop_abs,spl_drop_rel
A,A (train visuals),1.0,0.8200849861993492,12.48,11.575422729703428,25,0.0,0.0,0.0,0.0
L1,B_L1 (materials + lighting),0.84,0.6142094014312565,65.08,9.120459900975352,25,0.16000000000000003,0.16000000000000003,0.20587558476809276,0.2510417679053178
L2noT,"B_L2noT (+ object appearance, TARGET UNCHANGED)",0.92,0.6316512161952571,51.24,10.147843270834281,25,0.07999999999999996,0.07999999999999996,0.18843377000409212,0.22977346637862597
L2,B_L2 (+ object appearance),0.56,0.3914753923195306,124.48,5.099147753079569,25,0.43999999999999995,0.43999999999999995,0.4286095938798186,0.5226404593336021
L3,B_L3 (+ distractors),0.56,0.37921869184684026,122.52,5.301990608278077,25,0.43999999999999995,0.43999999999999995,0.44086629435250896,0.5375861060396753
