variant,success_rate,spl,mean_episode_length,mean_total_reward,episodes
A (train visuals),1.0,0.7191017816882119,20.6,11.54036490333251,25
B (zero-shot visuals),1.0,0.5912840772023923,52.36,11.222301349234039,25
